district,state,latitude,longitude,date,rainfall_24h_mm,rainfall_72h_mm,antecedent_rainfall_mm,soil_moisture_percent,slope_degrees,elevation_m,ndvi,lithology_code,landslide_occurred,data_source,rainfall_data_type
Thoubal,Manipur,24.388,94.0086,2007-03-27,49.4,110.9,192.8,73.1,9.9,638.0,0.47,1,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,28.1377,97.0478,2007-04-04,11.5,34.6,102.0,62.6,38.7,2010.2,0.41,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.1187,89.6316,2007-04-06,8.2,37.7,69.6,47.6,5.0,108.0,0.58,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.4459,88.6193,2007-04-11,24.8,81.3,175.1,89.7,17.1,20.0,0.48,1,1,real_event,calibrated_climatological
Agartala,Tripura,23.0732,90.017,2007-05-08,18.6,43.4,95.5,54.5,17.1,58.0,0.59,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.3383,88.6069,2007-05-23,54.5,136.1,221.5,59.1,8.0,85.8,0.74,1,1,real_event,calibrated_climatological
Cherrapunji,Meghalaya,25.2196,91.7419,2007-05-25,12.9,38.7,92.4,73.4,33.2,1280.1,0.57,3,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.2295,96.3815,2007-06-01,86.1,180.7,365.6,49.9,31.8,1133.6,0.54,2,0,real_negative_sample,calibrated_climatological
Kohima,Nagaland,25.5931,94.2552,2007-06-02,141.3,303.1,392.7,68.4,35.2,1423.9,0.45,3,0,real_negative_sample,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.0469,94.8092,2007-06-05,16.9,46.2,112.6,64.8,48.6,1828.4,0.67,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,23.2144,95.2541,2007-06-10,47.7,117.7,175.3,72.8,30.1,1112.7,0.46,2,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.6368,92.1453,2007-06-11,32.5,84.2,153.3,64.0,39.9,947.9,0.46,2,1,real_event,calibrated_climatological
Lunglei,Mizoram,22.3555,91.8205,2007-06-11,136.7,285.8,445.5,69.2,40.2,1038.3,0.61,2,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.7324,88.4089,2007-06-13,114.0,216.2,350.0,67.6,44.8,207.7,0.6,3,1,real_event,calibrated_climatological
