district,state,date,rainfall_24h_mm,rainfall_72h_mm,antecedent_rainfall_mm,soil_moisture_percent,slope_degrees,elevation_m,ndvi,lithology_code,landslide_occurred
Cherrapunji,Meghalaya,2023-06-15,245.3,612.1,890.4,87.2,32.5,1290,0.42,3,1
Guwahati,Assam,2023-06-16,45.2,120.3,180.5,62.1,8.3,54,0.61,1,0
Jiribam,Manipur,2023-06-17,156.8,380.2,520.7,79.4,28.7,820,0.38,2,1
Silchar,Assam,2023-06-18,98.4,240.6,310.2,71.3,15.2,21,0.55,1,0
Shillong,Meghalaya,2023-06-19,87.6,210.4,295.8,68.9,22.4,1496,0.48,3,0
Aizawl,Mizoram,2023-06-20,178.2,445.1,610.3,83.6,35.8,1132,0.35,2,1
Kohima,Nagaland,2023-06-21,132.5,325.8,460.2,76.2,30.1,1444,0.41,3,1
Imphal,Manipur,2023-06-22,67.3,158.9,220.4,58.4,12.6,786,0.58,1,0
Itanagar,Arunachal Pradesh,2023-06-23,210.4,520.7,720.1,85.1,38.2,380,0.33,2,1
Agartala,Tripura,2023-06-24,78.9,195.2,265.8,64.7,10.4,12,0.63,1,0
Dimapur,Nagaland,2023-06-25,45.6,112.3,158.9,55.2,7.8,232,0.67,1,0
Lunglei,Mizoram,2023-06-26,198.7,496.3,680.5,88.3,40.2,980,0.30,2,1
Tura,Meghalaya,2023-06-27,167.4,418.5,580.2,81.9,33.6,328,0.39,3,1
Tinsukia,Assam,2023-06-28,56.2,138.7,192.4,60.3,9.1,112,0.64,1,0
Mokokchung,Nagaland,2023-06-29,145.3,362.8,498.6,77.8,31.4,1326,0.43,3,1
Pasighat,Arunachal Pradesh,2023-06-30,188.6,471.2,642.8,84.7,36.9,155,0.36,2,1
Diphu,Assam,2023-07-01,112.4,281.0,388.5,72.6,18.4,315,0.52,1,0
Nongpoh,Meghalaya,2023-07-02,220.1,550.3,756.8,89.4,42.1,895,0.28,3,1
Champhai,Mizoram,2023-07-03,143.7,359.2,492.4,76.5,29.8,1070,0.44,2,1
Churachandpur,Manipur,2023-07-04,172.9,432.3,594.7,82.8,34.3,900,0.37,2,1
Tezu,Arunachal Pradesh,2023-07-05,95.3,238.2,328.7,69.4,16.7,212,0.57,1,0
Ukhrul,Manipur,2023-07-06,163.8,409.5,563.2,80.1,32.8,1820,0.40,3,1
Jorhat,Assam,2023-07-07,48.7,121.8,169.4,56.8,8.4,87,0.65,1,0
Dawki,Meghalaya,2023-07-08,255.2,638.0,878.4,91.2,44.5,402,0.25,3,1
Serchhip,Mizoram,2023-07-09,134.6,336.5,462.8,75.3,28.5,1012,0.46,2,0
Senapati,Manipur,2023-07-10,185.4,463.5,636.2,83.9,37.2,1556,0.34,2,1
Hailakandi,Assam,2023-07-11,108.2,270.5,372.8,70.7,14.3,25,0.59,1,0
Ri Bhoi,Meghalaya,2023-07-12,176.3,440.8,605.4,82.4,35.1,620,0.38,3,1
Mamit,Mizoram,2023-07-13,152.1,380.3,522.6,78.6,30.7,860,0.42,2,1
Lakhimpur,Assam,2023-07-14,62.4,156.0,215.8,58.9,10.2,96,0.62,1,0
West Garo Hills,Meghalaya,2023-07-15,192.5,481.3,661.8,85.6,39.4,298,0.32,3,1
Dibrugarh,Assam,2023-07-16,52.8,132.0,183.2,57.6,8.7,108,0.66,1,0
Phek,Nagaland,2023-07-17,148.9,372.3,511.5,77.2,31.8,1524,0.41,3,1
Anjaw,Arunachal Pradesh,2023-07-18,205.7,514.3,706.8,86.4,41.2,2100,0.29,2,1
Kamjong,Manipur,2023-07-19,169.3,423.3,581.6,81.3,33.7,1200,0.39,2,1
Karimganj,Assam,2023-07-20,82.1,205.3,283.4,65.8,11.8,18,0.61,1,0
East Jaintia Hills,Meghalaya,2023-07-21,237.6,594.0,816.8,90.3,43.8,720,0.27,3,1
Lunglei,Mizoram,2023-07-22,120.4,301.0,413.8,73.5,25.6,980,0.47,2,0
Tamenglong,Manipur,2023-07-23,194.8,487.0,669.2,84.2,38.5,1340,0.35,2,1
Nagaon,Assam,2023-07-24,58.6,146.5,202.4,59.4,9.6,62,0.63,1,0
Nongstoin,Meghalaya,2023-07-25,214.3,535.8,736.4,88.7,42.6,1320,0.30,3,1
Kolasib,Mizoram,2023-07-26,138.2,345.5,474.8,75.9,29.2,620,0.45,2,0
Bishnupur,Manipur,2023-07-27,74.5,186.3,257.1,63.2,12.4,790,0.58,1,0
Upper Siang,Arunachal Pradesh,2023-07-28,218.4,546.0,750.2,87.8,43.2,1680,0.28,2,1
Cachar,Assam,2023-07-29,102.7,256.8,353.5,70.1,13.9,22,0.59,1,0
Mairang,Meghalaya,2023-07-30,182.6,456.5,627.2,83.2,36.4,780,0.37,3,1
Saiha,Mizoram,2023-07-31,157.4,393.5,540.8,79.8,32.1,896,0.40,2,1
Thoubal,Manipur,2023-08-01,69.8,174.5,240.8,61.5,11.6,781,0.60,1,0
Longding,Arunachal Pradesh,2023-08-02,201.3,503.3,691.5,85.9,40.6,920,0.31,2,1
Goalpara,Assam,2023-08-03,61.2,153.0,211.5,58.1,9.8,38,0.64,1,0
